CIPCode,CIPTitle
10.0201,Photographic and Film/Video Technology/Technician
10.0203,Recording Arts Technology/Technician
10.0301,"Graphic Communications, General"
10.0305,"Graphic and Printing Equipment Operator, General Production"
11.0101,"Computer and Information Sciences, General"
11.0199,"Computer and Information Sciences,  Other"
11.0401,Information Science/Studies
11.0501,Computer Systems Analysis/Analyst
11.0601,"Data Entry/Microcomputer Applications, General"
11.0801,"Web Page, Digital/Multimedia and Information Resources Design"
11.0803,Computer Graphics
11.0899,"Computer Software and Media Applications, Other"
11.0901,Computer Systems Networking and Telecommunications
11.1001,Network and System Administration/Administrator
11.1002,"System, Networking, and LAN/WAN Management/Manager"
11.1003,Computer and Information Systems Security/Auditing/Information Assurance
11.1004,Web/Multimedia Management and Webmaster
11.1006,Computer Support Specialist
11.9999,"Computer and Information Sciences and Support Services, Other"
12.0401,"Cosmetology/Cosmetologist, General"
12.0402,Barbering/Barber
12.0404,Electrolysis/Electrology and Electrolysis Technician
12.0406,Make-Up Artist/Specialist
12.0407,Hair Styling/Stylist and Hair Design
12.0408,Facial Treatment Specialist/Facialist
12.0409,Aesthetician/Esthetician and Skin Care Specialist
12.0410,Nail Technician/Specialist and Manicurist
12.0411,Permanent Cosmetics/Makeup and Tattooing
12.0412,Salon/Beauty Salon Management/Manager
12.0413,"Cosmetology, Barber/Styling, and Nail Instructor"
12.0414,Master Aesthetician/Esthetician
12.0499,"Cosmetology and Related Personal Grooming Arts, Other"
12.0500,"Cooking and Related Culinary Arts, General"
12.0501,Baking and Pastry Arts/Baker/Pastry Chef
12.0502,Bartending/Bartender
12.0503,Culinary Arts/Chef Training
12.0505,Food Preparation/Professional Cooking/Kitchen Assistant
13.1206,"Teacher Education, Multiple Levels"
13.1210,Early Childhood Education and Teaching
13.1309,Technology Teacher Education/Industrial Arts Teacher Education
13.1319,Technical Teacher Education
13.1399,"Teacher Education and Professional Development, Specific Subject Areas, Other"
15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician"
15.0404,Instrumentation Technology/Technician
15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician"
15.0613,Manufacturing Engineering Technology/Technician
15.0803,Automotive Engineering Technology/Technician
15.1202,Computer/Computer Systems Technology/Technician
15.1301,"Drafting and Design Technology/Technician, General"
15.1302,CAD/CADD Drafting and/or Design Technology/Technician
15.1701,Energy Systems Technology/Technician
19.0709,Child Care Provider/Assistant
19.0902,Apparel and Textile Manufacture
22.0302,Legal Assistant/Paralegal
22.0303,Court Reporting and Captioning/Court Reporter
31.0507,Physical Fitness Technician
43.0102,Corrections
43.0103,Criminal Justice/Law Enforcement Administration
43.0104,Criminal Justice/Safety Studies
43.0107,Criminal Justice/Police Science
43.0109,Security and Loss Prevention Services
43.0203,Fire Science/Fire-fighting
43.0403,Cyber/Computer Forensics and Counterterrorism
43.9999,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other"
44.0000,"Human Services, General"
44.0401,Public Administration
46.0101,Mason/Masonry
46.0201,Carpentry/Carpenter
46.0302,Electrician
46.0303,Lineworker
46.0399,"Electrical and Power Transmission Installers, Other"
46.0401,Building/Property Maintenance
46.0402,Concrete Finishing/Concrete Finisher
46.0415,Building Construction Technology/Technician
46.9999,"Construction Trades, Other"
47.0103,Communications Systems Installation and Repair Technology/Technician
47.0104,Computer Installation and Repair Technology/Technician
47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
47.0302,Heavy Equipment Maintenance Technology/Technician
47.0303,Industrial Mechanics and Maintenance Technology/Technician
47.0402,Gunsmithing/Gunsmith
47.0408,Watchmaking and Jewelrymaking
47.0603,Autobody/Collision and Repair Technology/Technician
47.0604,Automobile/Automotive Mechanics Technology/Technician
47.0605,Diesel Mechanics Technology/Technician
47.0607,Airframe Mechanics and Aircraft Maintenance Technology/Technician
47.0609,Avionics Maintenance Technology/Technician
47.0611,Motorcycle Maintenance and Repair Technology/Technician
47.0613,Medium/Heavy Vehicle and Truck Technology/Technician
47.0617,High Performance and Custom Engine Technician/Mechanic
48.0000,"Precision Production Trades, General"
48.0501,Machine Tool Technology/Machinist
48.0503,Machine Shop Technology/Assistant
48.0507,Tool and Die Technology/Technician
48.0508,Welding Technology/Welder
48.0510,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist
48.0511,Metal Fabricator
48.9999,"Precision Production, Other"
49.0102,Airline/Commercial/Professional Pilot and Flight Crew
49.0202,Construction/Heavy Equipment/Earthmoving Equipment Operation
49.0205,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
49.0304,"Diver, Professional and Instructor"
50.0406,Commercial Photography
50.0408,Interior Design
50.0602,Cinematography and Film/Video Production
50.0713,Jewelry Arts
50.0903,"Music Performance, General"
50.0913,Music Technology
50.1099,"Arts, Entertainment, and Media Management, Other"
51.0601,Dental Assisting/Assistant
51.0602,Dental Hygiene/Hygienist
51.0701,Health/Health Care Administration/Management
51.0705,Medical Office Management/Administration
51.0706,Health Information/Medical Records Administration/Administrator
51.0707,Health Information/Medical Records Technology/Technician
51.0710,Medical Office Assistant/Specialist
51.0711,Medical/Health Management and Clinical Assistant/Specialist
51.0713,Medical Insurance Coding Specialist/Coder
51.0714,Medical Insurance Specialist/Medical Biller
51.0716,Medical Administrative/Executive Assistant and Medical Secretary
51.0801,Medical/Clinical Assistant
51.0803,Occupational Therapist Assistant
51.0805,Pharmacy Technician/Assistant
51.0806,Physical Therapy Assistant
51.0810,Emergency Care Attendant (EMT Ambulance)
51.0899,"Allied Health and Medical Assisting Services, Other"
51.0904,Emergency Medical Technology/Technician (EMT Paramedic)
51.0907,Medical Radiologic Technology/Science - Radiation Therapist
51.0908,Respiratory Care Therapy/Therapist
51.0909,Surgical Technology/Technologist
51.0910,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
51.0911,Radiologic Technology/Science - Radiographer
51.0913,Athletic Training/Trainer
51.0920,Magnetic Resonance Imaging (MRI) Technology/Technician
51.1001,Blood Bank Technology Specialist
51.1005,Clinical Laboratory Science/Medical Technology/Technologist
51.1009,Phlebotomy Technician/Phlebotomist
51.1012,Sterile Processing Technology/Technician
51.1501,Substance Abuse/Addiction Counseling
51.2201,"Public Health, General"
51.2399,"Rehabilitation and Therapeutic Professions, Other"
51.2602,Home Health Aide/Home Attendant
51.3203,Nursing Education
51.3301,Acupuncture and Oriental Medicine
51.3305,Ayurvedic Medicine/Ayurveda
51.3501,Massage Therapy/Therapeutic Massage
51.3599,"Somatic Bodywork and Related Therapeutic Services, Other"
51.3703,Polarity Therapy
51.3801,Registered Nursing/Registered Nurse
51.3803,Adult Health Nurse/Nursing
51.3901,Licensed Practical/Vocational Nurse Training
51.3902,Nursing Assistant/Aide and Patient Care Assistant/Aide
51.3999,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
52.0101,"Business/Commerce, General"
52.0201,"Business Administration and Management, General"
52.0204,Office Management and Supervision
52.0299,"Business Administration, Management and Operations, Other"
52.0301,Accounting
52.0302,Accounting Technology/Technician and Bookkeeping
52.0305,Accounting and Business/Management
52.0401,"Administrative Assistant and Secretarial Science, General"
52.0407,Business/Office Automation/Technology/Data Entry
52.0408,General Office Occupations and Clerical Services
52.0410,"Traffic, Customs, and Transportation Clerk/Technician"
52.0803,Banking and Financial Support Services
52.0904,Hotel/Motel Administration/Management
52.0999,"Hospitality Administration/Management, Other"
52.1201,"Management Information Systems, General"
52.1803,Retailing and Retail Operations
-2,Not applicable
1,Clock hours
2,Credit hours
-2,Not applicable
01.8101,"Veterinary Sciences/Veterinary Clinical Sciences, General"
01.8301,Veterinary/Animal Health Technology/Technician and Veterinary Assistant
09.0702,Digital Communication and Media/Multimedia
09.0900,"Public Relations, Advertising, and Applied Communication"
09.0906,Sports Communication
10.0203,Recording Arts Technology/Technician
10.0304,"Animation, Interactive Technology, Video Graphics, and Special Effects"
11.0101,"Computer and Information Sciences, General"
11.0103,Information Technology
11.0199,"Computer and Information Sciences,  Other"
11.0201,"Computer Programming/Programmer, General"
11.0801,"Web Page, Digital/Multimedia and Information Resources Design"
11.0901,Computer Systems Networking and Telecommunications
11.1001,Network and System Administration/Administrator
11.1002,"System, Networking, and LAN/WAN Management/Manager"
11.1003,Computer and Information Systems Security/Auditing/Information Assurance
11.1006,Computer Support Specialist
11.1099,"Computer/Information Technology Services Administration and Management, Other"
12.0401,"Cosmetology/Cosmetologist, General"
12.0402,Barbering/Barber
12.0404,Electrolysis/Electrology and Electrolysis Technician
12.0406,Make-Up Artist/Specialist
12.0407,Hair Styling/Stylist and Hair Design
12.0408,Facial Treatment Specialist/Facialist
12.0409,Aesthetician/Esthetician and Skin Care Specialist
12.0410,Nail Technician/Specialist and Manicurist
12.0411,Permanent Cosmetics/Makeup and Tattooing
12.0412,Salon/Beauty Salon Management/Manager
12.0413,"Cosmetology, Barber/Styling, and Nail Instructor"
12.0414,Master Aesthetician/Esthetician
12.0499,"Cosmetology and Related Personal Grooming Arts, Other"
12.0500,"Cooking and Related Culinary Arts, General"
12.0501,Baking and Pastry Arts/Baker/Pastry Chef
12.0503,Culinary Arts/Chef Training
12.0599,"Culinary Arts and Related Services, Other"
12.9999,"Culinary, Entertainment, and Personal Services, Other"
13.1210,Early Childhood Education and Teaching
13.1399,"Teacher Education and Professional Development, Specific Subject Areas, Other"
14.1001,Electrical and Electronics Engineering
14.4201,"Mechatronics, Robotics, and Automation Engineering"
15.0201,Civil Engineering Technologies/Technicians
15.0305,Telecommunications Technology/Technician
15.0407,"Mechatronics, Robotics, and Automation Engineering Technology/Technician"
15.0499,"Electromechanical Technologies/Technicians, Other"
15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician"
15.0617,Composite Materials Technology/Technician
15.1202,Computer/Computer Systems Technology/Technician
15.1301,"Drafting and Design Technology/Technician, General"
19.0501,"Foods, Nutrition, and Wellness Studies, General"
19.0709,Child Care Provider/Assistant
22.0302,Legal Assistant/Paralegal
22.9999,"Legal Professions and Studies, Other"
23.0101,"English Language and Literature, General"
31.0501,"Sports, Kinesiology, and Physical Education/Fitness, General"
31.0504,Sport and Fitness Administration/Management
31.0507,Physical Fitness Technician
41.0101,Biology/Biotechnology Technology/Technician
43.0103,Criminal Justice/Law Enforcement Administration
43.0104,Criminal Justice/Safety Studies
43.0107,Criminal Justice/Police Science
43.0114,Law Enforcement Investigation and Interviewing
43.0201,Fire Prevention and Safety Technology/Technician
43.0203,Fire Science/Fire-fighting
46.0000,"Construction Trades, General"
46.0201,Carpentry/Carpenter
46.0302,Electrician
46.0303,Lineworker
46.0401,Building/Property Maintenance
46.0415,Building Construction Technology/Technician
46.0499,"Building/Construction Finishing, Management, and Inspection, Other"
46.0503,Plumbing Technology/Plumber
46.0599,"Plumbing and Related Water Supply Services, Other"
46.9999,"Construction Trades, Other"
47.0101,"Electrical/Electronics Equipment Installation and Repair Technology/Technician, General"
47.0104,Computer Installation and Repair Technology/Technician
47.0105,Industrial Electronics Technology/Technician
47.0199,"Electrical/Electronics Maintenance and Repair Technologies/Technicians, Other"
47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
47.0303,Industrial Mechanics and Maintenance Technology/Technician
47.0399,"Heavy/Industrial Equipment Maintenance Technologies/Technicians, Other"
47.0404,Musical Instrument Fabrication and Repair
47.0600,"Vehicle Maintenance and Repair Technology/Technician, General"
47.0603,Autobody/Collision and Repair Technology/Technician
47.0604,Automobile/Automotive Mechanics Technology/Technician
47.0605,Diesel Mechanics Technology/Technician
47.0607,Airframe Mechanics and Aircraft Maintenance Technology/Technician
47.0608,Aircraft Powerplant Technology/Technician
47.0613,Medium/Heavy Vehicle and Truck Technology/Technician
47.0615,Engine Machinist
47.0616,Marine Maintenance/Fitter and Ship Repair Technology/Technician
48.0501,Machine Tool Technology/Machinist
48.0508,Welding Technology/Welder
48.0510,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist
48.0511,Metal Fabricator
49.0202,Construction/Heavy Equipment/Earthmoving Equipment Operation
49.0205,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
49.0304,"Diver, Professional and Instructor"
50.0401,"Design and Visual Communications, General"
50.0402,Commercial and Advertising Art
50.0406,Commercial Photography
50.0409,Graphic Design
50.0713,Jewelry Arts
50.0904,Music Theory and Composition
50.1099,"Arts, Entertainment, and Media Management, Other"
51.0001,"Health and Wellness, General"
51.0601,Dental Assisting/Assistant
51.0602,Dental Hygiene/Hygienist
51.0701,Health/Health Care Administration/Management
51.0705,Medical Office Management/Administration
51.0707,Health Information/Medical Records Technology/Technician
51.0710,Medical Office Assistant/Specialist
51.0713,Medical Insurance Coding Specialist/Coder
51.0714,Medical Insurance Specialist/Medical Biller
51.0716,Medical Administrative/Executive Assistant and Medical Secretary
51.0799,"Health and Medical Administrative Services, Other"
51.0801,Medical/Clinical Assistant
51.0803,Occupational Therapist Assistant
51.0805,Pharmacy Technician/Assistant
51.0806,Physical Therapy Assistant
51.0810,Emergency Care Attendant (EMT Ambulance)
51.0899,"Allied Health and Medical Assisting Services, Other"
51.0902,Electrocardiograph Technology/Technician
51.0904,Emergency Medical Technology/Technician (EMT Paramedic)
51.0907,Medical Radiologic Technology/Science - Radiation Therapist
51.0908,Respiratory Care Therapy/Therapist
51.0909,Surgical Technology/Technologist
51.0910,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
51.0911,Radiologic Technology/Science - Radiographer
51.0913,Athletic Training/Trainer
51.0917,Polysomnography
51.1009,Phlebotomy Technician/Phlebotomist
51.1011,Renal/Dialysis Technologist/Technician
51.1012,Sterile Processing Technology/Technician
51.1501,Substance Abuse/Addiction Counseling
51.1502,Psychiatric/Mental Health Services Technician
51.1802,Optometric Technician/Assistant
51.2211,Health Services Administration
51.2306,Occupational Therapy/Therapist
51.2602,Home Health Aide/Home Attendant
51.2603,Medication Aide
51.2604,Rehabilitation Aide
51.2699,"Health Aides/Attendants/Orderlies, Other"
51.3501,Massage Therapy/Therapeutic Massage
51.3703,Polarity Therapy
51.3801,Registered Nursing/Registered Nurse
51.3805,Family Practice Nurse/Nursing
51.3808,Nursing Science
51.3821,Geriatric Nurse/Nursing
51.3901,Licensed Practical/Vocational Nurse Training
51.3902,Nursing Assistant/Aide and Patient Care Assistant/Aide
51.3999,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
52.0201,"Business Administration and Management, General"
52.0204,Office Management and Supervision
52.0301,Accounting
52.0302,Accounting Technology/Technician and Bookkeeping
52.0305,Accounting and Business/Management
52.0401,"Administrative Assistant and Secretarial Science, General"
52.0402,Executive Assistant/Executive Secretary
52.0408,General Office Occupations and Clerical Services
52.0499,"Business Operations Support and Secretarial Services, Other"
52.0904,Hotel/Motel Administration/Management
52.1001,"Human Resources Management/Personnel Administration, General"
52.1803,Retailing and Retail Operations
-2,Not applicable
1,Clock hours
2,Credit hours
-2,Not applicable
01.8301,Veterinary/Animal Health Technology/Technician and Veterinary Assistant
09.0702,Digital Communication and Media/Multimedia
10.0203,Recording Arts Technology/Technician
10.0304,"Animation, Interactive Technology, Video Graphics, and Special Effects"
11.0101,"Computer and Information Sciences, General"
11.0199,"Computer and Information Sciences,  Other"
11.0201,"Computer Programming/Programmer, General"
11.0801,"Web Page, Digital/Multimedia and Information Resources Design"
11.0901,Computer Systems Networking and Telecommunications
11.1001,Network and System Administration/Administrator
11.1003,Computer and Information Systems Security/Auditing/Information Assurance
11.1006,Computer Support Specialist
11.1099,"Computer/Information Technology Services Administration and Management, Other"
11.9999,"Computer and Information Sciences and Support Services, Other"
12.0401,"Cosmetology/Cosmetologist, General"
12.0402,Barbering/Barber
12.0406,Make-Up Artist/Specialist
12.0407,Hair Styling/Stylist and Hair Design
12.0408,Facial Treatment Specialist/Facialist
12.0409,Aesthetician/Esthetician and Skin Care Specialist
12.0410,Nail Technician/Specialist and Manicurist
12.0412,Salon/Beauty Salon Management/Manager
12.0413,"Cosmetology, Barber/Styling, and Nail Instructor"
12.0414,Master Aesthetician/Esthetician
12.0499,"Cosmetology and Related Personal Grooming Arts, Other"
12.0500,"Cooking and Related Culinary Arts, General"
12.0501,Baking and Pastry Arts/Baker/Pastry Chef
12.0503,Culinary Arts/Chef Training
12.0504,"Restaurant, Culinary, and Catering Management/Manager"
12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager"
13.1210,Early Childhood Education and Teaching
13.1399,"Teacher Education and Professional Development, Specific Subject Areas, Other"
14.1001,Electrical and Electronics Engineering
15.0399,"Electrical/Electronic Engineering Technologies/Technicians, Other"
15.0401,Biomedical Technology/Technician
15.0499,"Electromechanical Technologies/Technicians, Other"
15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician"
15.0803,Automotive Engineering Technology/Technician
15.1201,Computer Engineering Technology/Technician
15.1202,Computer/Computer Systems Technology/Technician
15.1204,Computer Software Technology/Technician
15.1301,"Drafting and Design Technology/Technician, General"
15.1303,Architectural Drafting and Architectural CAD/CADD
15.9999,"Engineering/Engineering-Related Technologies/Technicians, Other"
19.0501,"Foods, Nutrition, and Wellness Studies, General"
19.0708,Child Care and Support Services Management
19.0709,Child Care Provider/Assistant
22.0301,Legal Administrative Assistant/Secretary
22.0302,Legal Assistant/Paralegal
43.0102,Corrections
43.0107,Criminal Justice/Police Science
43.0109,Security and Loss Prevention Services
43.0203,Fire Science/Fire-fighting
46.0000,"Construction Trades, General"
46.0101,Mason/Masonry
46.0201,Carpentry/Carpenter
46.0302,Electrician
46.0303,Lineworker
46.0399,"Electrical and Power Transmission Installers, Other"
46.0401,Building/Property Maintenance
46.0415,Building Construction Technology/Technician
46.0502,Pipefitting/Pipefitter and Sprinkler Fitter
46.0503,Plumbing Technology/Plumber
46.9999,"Construction Trades, Other"
47.0104,Computer Installation and Repair Technology/Technician
47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
47.0303,Industrial Mechanics and Maintenance Technology/Technician
47.0399,"Heavy/Industrial Equipment Maintenance Technologies/Technicians, Other"
47.0403,Locksmithing and Safe Repair
47.0600,"Vehicle Maintenance and Repair Technology/Technician, General"
47.0603,Autobody/Collision and Repair Technology/Technician
47.0604,Automobile/Automotive Mechanics Technology/Technician
47.0605,Diesel Mechanics Technology/Technician
47.0607,Airframe Mechanics and Aircraft Maintenance Technology/Technician
47.0613,Medium/Heavy Vehicle and Truck Technology/Technician
47.0615,Engine Machinist
47.0616,Marine Maintenance/Fitter and Ship Repair Technology/Technician
48.0000,"Precision Production Trades, General"
48.0303,Upholstery/Upholsterer
48.0501,Machine Tool Technology/Machinist
48.0503,Machine Shop Technology/Assistant
48.0508,Welding Technology/Welder
48.0510,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist
49.0202,Construction/Heavy Equipment/Earthmoving Equipment Operation
49.0205,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
49.0304,"Diver, Professional and Instructor"
50.0102,Digital Arts
50.0402,Commercial and Advertising Art
50.0407,Fashion/Apparel Design
50.0409,Graphic Design
50.0605,Photography
50.0713,Jewelry Arts
51.0000,"Health Services/Allied Health/Health Sciences, General"
51.0601,Dental Assisting/Assistant
51.0602,Dental Hygiene/Hygienist
51.0701,Health/Health Care Administration/Management
51.0702,Hospital and Health Care Facilities Administration/Management
51.0705,Medical Office Management/Administration
51.0707,Health Information/Medical Records Technology/Technician
51.0710,Medical Office Assistant/Specialist
51.0711,Medical/Health Management and Clinical Assistant/Specialist
51.0713,Medical Insurance Coding Specialist/Coder
51.0714,Medical Insurance Specialist/Medical Biller
51.0716,Medical Administrative/Executive Assistant and Medical Secretary
51.0799,"Health and Medical Administrative Services, Other"
51.0801,Medical/Clinical Assistant
51.0803,Occupational Therapist Assistant
51.0805,Pharmacy Technician/Assistant
51.0806,Physical Therapy Assistant
51.0810,Emergency Care Attendant (EMT Ambulance)
51.0812,Respiratory Therapy Technician/Assistant
51.0901,Cardiovascular Technology/Technologist
51.0904,Emergency Medical Technology/Technician (EMT Paramedic)
51.0905,Nuclear Medical Technology/Technologist
51.0908,Respiratory Care Therapy/Therapist
51.0909,Surgical Technology/Technologist
51.0910,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
51.0911,Radiologic Technology/Science - Radiographer
51.1004,Clinical/Medical Laboratory Technician
51.1009,Phlebotomy Technician/Phlebotomist
51.1011,Renal/Dialysis Technologist/Technician
51.1012,Sterile Processing Technology/Technician
51.1502,Psychiatric/Mental Health Services Technician
51.1802,Optometric Technician/Assistant
51.1803,Ophthalmic Technician/Technologist
51.2211,Health Services Administration
51.2602,Home Health Aide/Home Attendant
51.2699,"Health Aides/Attendants/Orderlies, Other"
51.3104,Dietitian Assistant
51.3203,Nursing Education
51.3305,Ayurvedic Medicine/Ayurveda
51.3306,Holistic/Integrative Health
51.3501,Massage Therapy/Therapeutic Massage
51.3801,Registered Nursing/Registered Nurse
51.3805,Family Practice Nurse/Nursing
51.3901,Licensed Practical/Vocational Nurse Training
51.3902,Nursing Assistant/Aide and Patient Care Assistant/Aide
51.3999,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
52.0201,"Business Administration and Management, General"
52.0203,"Logistics, Materials, and Supply Chain Management"
52.0299,"Business Administration, Management and Operations, Other"
52.0302,Accounting Technology/Technician and Bookkeeping
52.0401,"Administrative Assistant and Secretarial Science, General"
52.0402,Executive Assistant/Executive Secretary
52.0408,General Office Occupations and Clerical Services
52.0901,"Hospitality Administration/Management, General"
52.1401,"Marketing/Marketing Management, General"
52.1501,Real Estate
-2,Not applicable
1,Contact hours
2,Credit hours
-2,Not applicable